Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q08379;Q08379-2;B7ZC06;Q9NVV4-2	Q08379;Q08379-2	6;5;2;1	6;5;2;1	6;5;2;1	Golgin subfamily A member 2	GOLGA2	>sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens GN=GOLGA2 PE=1 SV=3;>sp|Q08379-2|GOGA2_HUMAN Isoform 2 of Golgin subfamily A member 2 OS=Homo sapiens GN=GOLGA2	4	6	6	6	8	8	8	113.08	1002	1002;620;473;712	7.4103E-46	3.3581	2.9676	55.996	3	48411000	8921800	39489000				1885	419;1785;1880;6156;6647;11629	True;True;True;True;True;True	420;1791;1886;6166;6657;11649	491;2138;2250;7419;8025;13924	918;3842;4045;4046;13470;13471;14567;14568;25385	918;3842;4045;13470;14568;25385		
Q08722-2;Q08722-3;Q08722-4;Q08722	Q08722-2;Q08722-3;Q08722-4;Q08722	1;1;1;1	1;1;1;1	1;1;1;1	Leukocyte surface antigen CD47	CD47	>sp|Q08722-2|CD47_HUMAN Isoform OA3-293 of Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47;>sp|Q08722-3|CD47_HUMAN Isoform OA3-305 of Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47;>sp|Q08722-4|CD47_HUMAN Isoform OA3-312 of Leukocyte surface	4	1	1	1	2.7	2.7	2.7	31.742	292	292;305;311;323	0.011118	NaN	NaN	NaN	1	34006000	11224000	22783000				1886	4942	True	4951	5940	10818	10818		
Q08945;E9PPZ7;E9PMD4	Q08945	10;3;3	10;3;3	10;3;3	FACT complex subunit SSRP1	SSRP1	>sp|Q08945|SSRP1_HUMAN FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1	3	10	10	10	18.9	18.9	18.9	81.074	709	709;154;192	2.5415E-53	0.64953	0.54481	17.841	9	147240000	96405000	50840000				1887	302;3105;3624;4454;5643;8304;8799;9187;9296;11012	True;True;True;True;True;True;True;True;True;True	302;3112;3631;4463;5653;8317;8813;9201;9310;11032	343;3680;4284;5329;6797;9965;10537;10990;11114;13200	635;636;6610;6611;7728;7729;9708;9709;9710;12407;17951;17952;19055;19836;20085;20086;24003;24004;24005;24006	635;6610;7728;9709;12407;17952;19055;19836;20086;24005		
Q08J23;Q08J23-2;G3V1R4;D6RAS3	Q08J23;Q08J23-2;G3V1R4	9;8;7;2	9;8;7;2	9;8;7;2	tRNA (cytosine(34)-C(5))-methyltransferase	NSUN2	>sp|Q08J23|NSUN2_HUMAN tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2;>sp|Q08J23-2|NSUN2_HUMAN Isoform 2 of tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2;>tr|G3V1R4|G3V1R4_HUMAN NOL1/NOP2/Sun domain fami	4	9	9	9	16.9	16.9	16.9	86.47	767	767;732;531;202	4.2097E-42	0.72008	0.64725	24.216	8	92059000	64348000	27711000				1888	2239;3590;5223;6036;6279;7090;7786;9351;11093	True;True;True;True;True;True;True;True;True	2245;3597;5232;6046;6289;7102;7800;9365;11113	2686;4245;6277;7287;7288;7555;8552;9349;11174;13297	4795;4796;4797;4798;4799;7655;11448;11449;11450;13239;13240;13241;13697;13698;15456;16855;20202;20203;24209	4799;7655;11449;13240;13697;15456;16855;20203;24209		
Q09028-3;Q09028;Q09028-4;Q09028-2;H0YF10;H0YCT5;H0YDK2;H0YEU5;B4DRT0;Q5JP02;E9PNS2;E9PIC4;E9PNS6;Q5JP01;C9J959;C9JPP3	Q09028-3;Q09028;Q09028-4;Q09028-2;H0YF10;H0YCT5;H0YDK2	8;8;6;6;5;4;4;3;3;3;2;2;2;2;1;1	8;8;6;6;5;4;4;3;3;3;2;2;2;2;1;1	4;4;2;2;1;1;1;1;1;0;2;2;2;0;0;1	Histone-binding protein RBBP4	RBBP4	>sp|Q09028-3|RBBP4_HUMAN Isoform 3 of Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4;>sp|Q09028|RBBP4_HUMAN Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=3;>sp|Q09028-4|RBBP4_HUMAN Isoform 4 of Histone-binding protein RBBP4 OS=Homo	16	8	8	4	21.7	21.7	12.9	46.158	410	410;425;390;424;207;180;262;167;173;175;62;87;104;285;42;87	3.5462E-19	0.67928	0.50714	22.068	7	270590000	177070000	93521000				1889	185;2090;3744;5010;6834;6927;10617;10764	True;True;True;True;True;True;True;True	185;2096;3751;5019;6844;6938;10636;10783	214;2521;4418;6016;6017;8261;8370;12705;12880	405;406;407;4524;7972;10956;10957;10958;10959;10960;14966;15136;23026;23382;23383;23384	406;4524;7972;10960;14966;15136;23026;23383		
Q09161	Q09161	3	3	3	Nuclear cap-binding protein subunit 1	NCBP1	>sp|Q09161|NCBP1_HUMAN Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1	1	3	3	3	4.9	4.9	4.9	91.838	790	790	9.0917E-09	0.80901	0.75252	3.9433	2	21862000	10472000	11390000				1890	1076;7623;11486	True;True;True	1080;7637;11506	1275;9167;13756	2318;2319;16522;16523;25074	2318;16523;25074		
Q09666;E9PLZ1;E9PJZ0;E9PKR9;E9PJC6;E9PLK4;Q09666-2;E9PQE3	Q09666	19;2;2;2;2;2;2;1	19;2;2;2;2;2;2;1	19;2;2;2;2;2;2;1	Neuroblast differentiation-associated protein AHNAK	AHNAK	>sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	8	19	19	19	9.6	9.6	9.6	629.09	5890	5890;93;121;123;131;144;149;86	5.5831E-55	2.2068	1.8547	15.784	11	189960000	39025000	150930000				1891	2347;3287;3754;5352;5460;5461;6988;9790;10995;10996;10997;10998;10999;11027;11029;11030;11049;11083;11739	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2354;3294;3761;5362;5470;5471;6999;9807;11015;11016;11017;11018;11019;11047;11049;11050;11069;11103;11759	2806;3892;4428;6434;6578;6579;8441;11674;13173;13174;13175;13176;13177;13217;13219;13220;13243;13244;13283;14056	5029;7005;7988;11740;11741;12009;12010;12011;15274;15275;15276;15277;21078;21079;23954;23955;23956;23957;23958;23959;23960;23961;23962;23963;23964;23965;24045;24046;24048;24049;24050;24098;24099;24183;25644	5029;7005;7988;11740;12010;12011;15274;21079;23954;23956;23960;23963;23965;24046;24048;24049;24099;24183;25644		
Q0VDF9	Q0VDF9	1	1	1	Heat shock 70 kDa protein 14	HSPA14	>sp|Q0VDF9|HSP7E_HUMAN Heat shock 70 kDa protein 14 OS=Homo sapiens GN=HSPA14 PE=1 SV=1	1	1	1	1	5.7	5.7	5.7	54.794	509	509	3.9944E-13	NaN	NaN	NaN	1	4937900	3132200	1805700				1892	11446	True	11466	13714	24993;24994;24995;24996	24994		
Q0VDG4-2;Q0VDG4	Q0VDG4-2;Q0VDG4	1;1	1;1	1;1	Secernin-3	SCRN3	>sp|Q0VDG4-2|SCRN3_HUMAN Isoform 2 of Secernin-3 OS=Homo sapiens GN=SCRN3;>sp|Q0VDG4|SCRN3_HUMAN Secernin-3 OS=Homo sapiens GN=SCRN3 PE=1 SV=1	2	1	1	1	3.4	3.4	3.4	47.67	417	417;424	0.00549	NaN	NaN	NaN	1	1809300	882960	926340				1893	4697	True	4706	5637	10257;10258	10258		
Q10567-4;Q10567-3;Q10567-2;Q10567;C9J1E7	Q10567-4;Q10567-3;Q10567-2;Q10567;C9J1E7	5;5;5;5;3	1;1;1;1;1	1;1;1;1;1	AP-1 complex subunit beta-1	AP1B1	>sp|Q10567-4|AP1B1_HUMAN Isoform 4 of AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1;>sp|Q10567-3|AP1B1_HUMAN Isoform C of AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1;>sp|Q10567-2|AP1B1_HUMAN Isoform B of AP-1 complex subunit beta-1 OS=Homo 	5	5	1	1	7.8	2.3	2.3	101.35	919	919;939;942;949;578	3.0778E-23	NaN	NaN	NaN	1	5780800	1804300	3976500				1894	6027;6058;7407;7607;8494	True;False;False;False;False	6037;6068;7419;7621;8507	7276;7313;8913;9149;10176	13219;13220;13287;13288;16078;16487;16488;16489;18371;18372	13220;13288;16078;16487;18371		
Q10570;E9PIM1	Q10570	4;1	4;1	4;1	Cleavage and polyadenylation specificity factor subunit 1	CPSF1	>sp|Q10570|CPSF1_HUMAN Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens GN=CPSF1 PE=1 SV=2	2	4	4	4	3.7	3.7	3.7	160.88	1443	1443;175	1.5107E-15	0.49946	0.47429	115.66	3	112970000	22905000	90070000				1895	1294;1702;5047;11463	True;True;True;True	1299;1707;5056;11483	1519;2021;6059;13733	2736;3628;11039;25029	2736;3628;11039;25029		
Q10589	Q10589	2	2	2	Bone marrow stromal antigen 2	BST2	>sp|Q10589|BST2_HUMAN Bone marrow stromal antigen 2 OS=Homo sapiens GN=BST2 PE=1 SV=1	1	2	2	2	13.9	13.9	13.9	19.769	180	180	2.1661E-10	0.82337	0.64181	20.46	2	52425000	29773000	22652000				1896	5917;7020	True;True	5927;7031	7146;8475	12993;12994;15331	12993;15331		
Q10713;B4DKL3;Q5SXN0;Q5SXN9	Q10713	7;3;2;1	7;3;2;1	7;3;2;1	Mitochondrial-processing peptidase subunit alpha	PMPCA	>sp|Q10713|MPPA_HUMAN Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens GN=PMPCA PE=1 SV=2	4	7	7	7	18.9	18.9	18.9	58.252	525	525;394;146;271	9.0427E-22	0.85462	0.73872	8.5069	5	57927000	23894000	34032000				1897	1978;3124;7237;10006;10645;12325;12342	True;True;True;True;True;True;True	1984;3131;7249;10023;10664;12345;12362	2391;3702;8718;11924;12737;14779;14798	4300;6650;15736;21539;23085;26970;26971;27002	4300;6650;15736;21539;23085;26971;27002		
Q12765-3;Q12765;Q12765-2;B4DIV7;B8ZZP4;C9J7U9;C9K052	Q12765-3;Q12765;Q12765-2;B4DIV7	3;3;3;2;1;1;1	3;3;3;2;1;1;1	3;3;3;2;1;1;1	Secernin-1	SCRN1	>sp|Q12765-3|SCRN1_HUMAN Isoform 3 of Secernin-1 OS=Homo sapiens GN=SCRN1;>sp|Q12765|SCRN1_HUMAN Secernin-1 OS=Homo sapiens GN=SCRN1 PE=1 SV=2;>sp|Q12765-2|SCRN1_HUMAN Isoform 2 of Secernin-1 OS=Homo sapiens GN=SCRN1;>tr|B4DIV7|B4DIV7_HUMAN Secernin-1 OS=H	7	3	3	3	11.6	11.6	11.6	38.863	346	346;414;434;240;140;141;245	9.5962E-21	1.8928	1.6985	6.5154	4	35708000	12586000	23122000				1898	506;2726;9544	True;True;True	507;2733;9561	590;3239;3240;11388	1091;5814;5815;5816;20579;20580	1091;5814;20579		
Q12874;E7EUT8	Q12874;E7EUT8	6;4	6;4	6;4	Splicing factor 3A subunit 3	SF3A3	>sp|Q12874|SF3A3_HUMAN Splicing factor 3A subunit 3 OS=Homo sapiens GN=SF3A3 PE=1 SV=1;>tr|E7EUT8|E7EUT8_HUMAN Splicing factor 3A subunit 3 OS=Homo sapiens GN=SF3A3 PE=2 SV=1	2	6	6	6	15.6	15.6	15.6	58.848	501	501;448	1.301E-16	0.93856	0.78223	30.442	6	92009000	47921000	44088000				1899	2286;7618;9259;11318;12047;12363	True;True;True;True;True;True	2292;7632;9273;11338;12067;12383	2737;9161;11067;13572;14453;14822	4891;4892;4893;4894;4895;4896;16512;19992;19993;24740;26377;27039	4893;16512;19993;24740;26377;27039		
Q12882	Q12882	2	2	2	Dihydropyrimidine dehydrogenase [NADP(+)]	DPYD	>sp|Q12882|DPYD_HUMAN Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens GN=DPYD PE=1 SV=2	1	2	2	2	3.2	3.2	3.2	111.4	1025	1025	7.8817E-16	NaN	NaN	NaN	0	2785700	0	2785700				1900	3266;9701	True;True	3273;9718	3867;11573	6962;20888	6962;20888		
Q12904;Q12904-2;D6R937	Q12904;Q12904-2;D6R937	4;4;2	4;4;2	4;4;2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2	AIMP1	>sp|Q12904|AIMP1_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2;>sp|Q12904-2|AIMP1_HUMAN Isoform 2 of Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=A	3	4	4	4	26	26	26	34.352	312	312;336;150	8.8621E-18	0.75014	0.57505	4.0635	3	74357000	43949000	30409000				1901	3634;5508;8822;10830	True;True;True;True	3641;5518;8836;10850	4294;6635;10563;10564;12971	7749;7750;7751;12114;19098;19099;23572;23573	7749;12114;19099;23572		
Q12905	Q12905	9	9	9	Interleukin enhancer-binding factor 2	ILF2	>sp|Q12905|ILF2_HUMAN Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2	1	9	9	9	35.6	35.6	35.6	43.062	390	390	6.1507E-49	1.0484	0.76201	16.205	10	417030000	199880000	217150000				1902	4352;5203;5212;5233;5793;8375;11316;11435;11966	True;True;True;True;True;True;True;True;True	4361;5212;5221;5242;5803;8388;11336;11455;11985	5196;6252;6263;6288;6990;10044;13569;13570;13701;14321;14322	9452;11398;11399;11400;11401;11402;11403;11422;11479;12730;18111;18112;18113;24735;24736;24737;24972;24973;26115;26116;26117	9452;11399;11422;11479;12730;18112;24735;24973;26117		
Q12907;D6RBV2;D6RDX1;D6RIU4;D6RBH1	Q12907;D6RBV2;D6RDX1;D6RIU4	11;10;8;7;4	11;10;8;7;4	11;10;8;7;4	Vesicular integral-membrane protein VIP36	LMAN2	>sp|Q12907|LMAN2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1;>tr|D6RBV2|D6RBV2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=2 SV=1;>tr|D6RDX1|D6RDX1_HUMAN Vesicular integral-membrane pro	5	11	11	11	47.5	47.5	47.5	40.228	356	356;325;288;192;203	2.061E-71	4.493	3.0631	31.089	7	1662000000	172930000	1489100000				1903	1504;1769;1796;1886;2046;2422;6313;6994;7305;8238;8411	True;True;True;True;True;True;True;True;True;True;True	1509;1775;1802;1892;2052;2429;6323;7005;7317;8251;8424	1789;2110;2152;2257;2470;2896;2897;7593;8447;8794;8795;9890;9891;10081	3233;3780;3781;3866;3867;4055;4422;5200;5201;5202;13770;13771;13772;13773;13774;15286;15287;15288;15289;15290;15870;15871;15872;17808;17809;18183;18184	3233;3781;3866;4055;4422;5201;13770;15286;15872;17809;18184		
Q12996	Q12996	2	2	2	Cleavage stimulation factor subunit 3	CSTF3	>sp|Q12996|CSTF3_HUMAN Cleavage stimulation factor subunit 3 OS=Homo sapiens GN=CSTF3 PE=1 SV=1	1	2	2	2	4.9	4.9	4.9	82.921	717	717	7.3407E-16	0.88308	0.7676	30.757	2	9383700	4287100	5096600				1904	3293;5959	True;True	3300;5969	3898;7200	7019;13073;13074	7019;13073		
Q13011;M0R248;M0QZW4	Q13011	7;3;2	7;3;2	6;2;1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	ECH1	>sp|Q13011|ECH1_HUMAN Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2	3	7	7	6	30.8	30.8	27.1	35.816	328	328;267;181	2.0657E-38	1.6169	1.1374	31.974	8	543750000	221700000	322040000				1905	1509;4755;5845;7779;11140;11267;12423	True;True;True;True;True;True;True	1514;4764;5855;7793;11160;11287;12443	1795;5710;7056;9342;13353;13354;13503;14895	3249;3250;3251;10387;10388;12834;12835;16845;24329;24330;24331;24332;24333;24334;24614;24615;24616;24617;27191;27192;27193	3249;10387;12834;16845;24331;24614;27192		
Q13033-2;Q13033;G3V3G7;G3V340	Q13033-2;Q13033	3;2;1;1	3;2;1;1	3;2;1;1	Striatin-3	STRN3	>sp|Q13033-2|STRN3_HUMAN Isoform Alpha of Striatin-3 OS=Homo sapiens GN=STRN3;>sp|Q13033|STRN3_HUMAN Striatin-3 OS=Homo sapiens GN=STRN3 PE=1 SV=3	4	3	3	3	8.3	8.3	8.3	77.744	713	713;797;112;332	5.2879E-15	NaN	NaN	NaN	0	15400000	0	15400000				1906	1231;7846;9905	True;True;True	1236;7860;9922	1447;9417;11808	2603;16983;21325	2603;16983;21325		
Q13043-2;Q13043;F5H5B4	Q13043-2;Q13043;F5H5B4	2;2;1	2;2;1	2;2;1	Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit	STK4	>sp|Q13043-2|STK4_HUMAN Isoform 2 of Serine/threonine-protein kinase 4 OS=Homo sapiens GN=STK4;>sp|Q13043|STK4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens GN=STK4 PE=1 SV=2;>tr|F5H5B4|F5H5B4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapie	3	2	2	2	5.6	5.6	5.6	52.335	462	462;487;432	1.7012E-06	0.96658	0.8558	17.772	3	11228000	6137400	5090600				1907	1647;10517	True;True	1652;10536	1955;12581;12582	3521;3522;22782;22783	3522;22783		
Q13057;Q13057-2;K7EQ60	Q13057;Q13057-2	6;6;1	6;6;1	6;6;1	Bifunctional coenzyme A synthase;Phosphopantetheine adenylyltransferase;Dephospho-CoA kinase	COASY	>sp|Q13057|COASY_HUMAN Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY PE=1 SV=4;>sp|Q13057-2|COASY_HUMAN Isoform 2 of Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY	3	6	6	6	18.1	18.1	18.1	62.328	564	564;593;116	7.3559E-21	1.1023	0.97163	11.308	6	54211000	24448000	29763000				1908	1221;1471;4732;5248;6736;7101	True;True;True;True;True;True	1226;1476;4741;5257;6746;7113	1436;1748;5682;6305;8133;8565	2585;2586;3156;3157;3158;10342;11506;11507;14757;14758;14759;15476	2585;3157;10342;11506;14758;15476		
Q4TT38;Q13084;A2IDC7;Q4TT37;A2IDC6	Q4TT38;Q13084;A2IDC7;Q4TT37;A2IDC6	2;2;1;1;1	2;2;1;1;1	2;2;1;1;1	39S ribosomal protein L28, mitochondrial	MRPL28	>tr|Q4TT38|Q4TT38_HUMAN 39S ribosomal protein L28, mitochondrial OS=Homo sapiens GN=MRPL28 PE=2 SV=1;>sp|Q13084|RM28_HUMAN 39S ribosomal protein L28, mitochondrial OS=Homo sapiens GN=MRPL28 PE=1 SV=4;>tr|A2IDC7|A2IDC7_HUMAN 39S ribosomal protein L28, mitoc	5	2	2	2	11.7	11.7	11.7	30.045	256	256;256;194;218;240	1.5897E-06	1.1266	0.99977	10.782	2	14595000	6360000	8235100				1909	5650;12412	True;True	5660;12432	6805;14883	12417;12418;27173;27174	12418;27173		
Q13123;D6REL4;E7EQZ7;D6RCQ4;D6RAY9	Q13123;D6REL4;E7EQZ7	3;2;2;1;1	3;2;2;1;1	3;2;2;1;1	Protein Red	IK	>sp|Q13123|RED_HUMAN Protein Red OS=Homo sapiens GN=IK PE=1 SV=3;>tr|D6REL4|D6REL4_HUMAN Protein Red (Fragment) OS=Homo sapiens GN=IK PE=2 SV=1;>tr|E7EQZ7|E7EQZ7_HUMAN Protein Red (Fragment) OS=Homo sapiens GN=IK PE=2 SV=1	5	3	3	3	5.9	5.9	5.9	65.601	557	557;213;267;107;140	6.2045E-09	0.72662	0.69143	13.835	3	11708000	7218800	4489500				1910	2494;3024;7285	True;True;True	2501;3031;7297	2980;3588;8772	5339;6433;6434;15834	5339;6434;15834		
Q13148;Q13148-2;B1AKP7;G3V162;K7EJM5;K7EN94;B4DJ45;Q13148-3;K7EL26;K7EJ99	Q13148;Q13148-2;B1AKP7;G3V162;K7EJM5;K7EN94;B4DJ45	6;6;5;5;4;4;3;2;1;1	6;6;5;5;4;4;3;2;1;1	6;6;5;5;4;4;3;2;1;1	TAR DNA-binding protein 43	TARDBP	>sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1;>sp|Q13148-2|TADBP_HUMAN Isoform 2 of TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP;>tr|B1AKP7|B1AKP7_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE	10	6	6	6	20.8	20.8	20.8	44.739	414	414;416;295;298;201;222;298;260;60;80	6.0697E-43	0.92236	0.65151	29.473	7	167530000	88053000	79479000				1911	3217;3515;3991;7322;7536;10675	True;True;True;True;True;True	3224;3522;3999;7334;7549;10694	3811;4156;4778;4779;8815;9070;12770	6851;6852;7483;7484;8681;8682;8683;8684;15897;16341;16342;23143;23144	6852;7484;8682;15897;16341;23144		
Q13151	Q13151	3	3	3	Heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	>sp|Q13151|ROA0_HUMAN Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1	1	3	3	3	16.7	16.7	16.7	30.84	305	305	4.9741E-24	0.7765	0.59655	17.436	4	112510000	61180000	51333000				1912	3714;3823;6289	True;True;True	3721;3831;6299	4386;4387;4516;7565	7922;7923;7924;7925;7926;8158;13711;13712;13713	7925;8158;13713		
Q13162;H7C3T4;A6NG45;A6NJJ0	Q13162;H7C3T4	9;6;3;2	7;4;3;2	7;4;3;2	Peroxiredoxin-4	PRDX4	>sp|Q13162|PRDX4_HUMAN Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1;>tr|H7C3T4|H7C3T4_HUMAN Peroxiredoxin-4 (Fragment) OS=Homo sapiens GN=PRDX4 PE=4 SV=1	4	9	7	7	33.6	29.2	29.2	30.54	271	271;161;186;185	2.8275E-67	2.982	1.9558	17.932	11	1912400000	454120000	1458300000				1913	2062;4037;4038;5347;5455;7373;8580;8831;11723	True;False;False;True;True;True;True;True;True	2068;4045;4046;5356;5465;7385;8594;8845;11743	2489;2490;4835;4836;4837;4838;6427;6428;6569;6570;6571;8877;10282;10283;10573;14036;14037	4453;4454;4455;4456;4457;4458;8786;8787;8788;8789;8790;8791;8792;8793;8794;8795;11728;11729;11730;11731;11732;11986;11987;11988;11989;11990;11991;11992;11993;11994;11995;11996;11997;16005;16006;18577;18578;18579;18580;18581;18582;19114;19115;25601;25602;25603	4455;8788;8795;11731;11987;16005;18578;19114;25603		
Q13177;E9PM17;B3KNX7;Q13153;Q13153-2;H0YCG5;O75914-2;O75914;O75914-4;O75914-3;B1AKS5;H7C1X3	Q13177;E9PM17;B3KNX7;Q13153;Q13153-2	6;3;3;3;3;2;2;2;2;2;1;1	6;3;3;3;3;2;2;2;2;2;1;1	6;3;3;3;3;2;2;2;2;2;1;1	Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34;Serine/threonine-protein kinase PAK 1	PAK2;PAK1	>sp|Q13177|PAK2_HUMAN Serine/threonine-protein kinase PAK 2 OS=Homo sapiens GN=PAK2 PE=1 SV=3;>tr|E9PM17|E9PM17_HUMAN Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=2 SV=1;>tr|B3KNX7|B3KNX7_HUMAN Serine/threonine-protein kinase PAK 1 OS=H	12	6	6	6	21	21	21	58.042	524	524;455;522;545;553;244;544;559;565;580;181;221	7.283E-74	1.4199	1.1292	15.016	5	122270000	55213000	67053000				1914	723;1828;4331;6762;9307;9988	True;True;True;True;True;True	725;1834;4340;6772;9321;10005	843;2187;5172;8177;11126;11904	1513;1514;1515;1516;3924;3925;9404;9405;9406;9407;14833;14834;20102;20103;20104;20105;20106;21505	1516;3925;9407;14833;20102;21505		
Q13185;C9JMM0;B8ZZ43;K7ELA4;B5MD17;J3KS05;P83916	Q13185	5;2;2;1;1;1;1	5;2;2;1;1;1;1	5;2;2;1;1;1;1	Chromobox protein homolog 3	CBX3	>sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4	7	5	5	5	23.5	23.5	23.5	20.811	183	183;62;101;138;168;174;185	7.1237E-66	0.74918	0.55854	11.913	7	256160000	142950000	113210000				1915	1896;5087;5915;11041;11994	True;True;True;True;True	1902;5096;5925;11061;12013	2269;6111;7142;7143;13233;14390;14391	4081;4082;11137;11138;12985;12986;12987;12988;24074;24075;24076;26263;26264;26265;26266;26267;26268;26269	4081;11137;12986;24074;26269		
Q13200;E7EW34;E9PCS3;H7C1H2;H7C2Q3;C9JPC0;F8WBS8	Q13200;E7EW34;E9PCS3	14;12;11;4;2;2;1	14;12;11;4;2;2;1	14;12;11;4;2;2;1	26S proteasome non-ATPase regulatory subunit 2	PSMD2	>sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3;>tr|E7EW34|E7EW34_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=2 SV=1;>tr|E9PCS3|E9PCS3_HUMAN 26S proteasome non-AT	7	14	14	14	24.3	24.3	24.3	100.2	908	908;778;749;203;143;217;59	5.8963E-54	1.1958	0.95735	15.965	12	192690000	88811000	103880000				1916	862;1170;1832;2249;3006;3042;3478;6040;7343;7773;7812;9402;10419;12355	True;True;True;True;True;True;True;True;True;True;True;True;True;True	866;1175;1838;2255;3013;3049;3485;6050;7355;7787;7826;9418;10438;12375	1024;1383;2191;2696;3566;3606;4113;7293;8837;9336;9379;9380;11229;12466;14811	1846;1847;1848;1849;2501;3931;3932;4813;6391;6479;6480;7405;7406;13249;15931;15932;16835;16908;16909;16910;20299;22582;22583;22584;22585;22586;27024	1847;2501;3931;4813;6391;6479;7405;13249;15931;16835;16910;20299;22585;27024		
Q13217	Q13217	6	6	6	DnaJ homolog subfamily C member 3	DNAJC3	>sp|Q13217|DNJC3_HUMAN DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1	1	6	6	6	24.8	24.8	24.8	57.579	504	504	7.9798E-58	2.0844	1.826	17.269	4	45473000	13432000	32041000				1917	235;2961;6011;6597;9830;10080	True;True;True;True;True;True	235;2968;6021;6607;9847;10098	269;3518;7258;7970;11721;12014	502;503;6309;13180;14469;14470;14471;21170;21705;21706;21707;21708	502;6309;13180;14469;21170;21706		
